date,value
1911-02-01,-58
1911-03-01,-63
1911-04-01,-54
1911-05-01,-51
1911-06-01,-48
1911-07-01,-39
1911-08-01,-41
1911-09-01,-37
1911-10-01,-26
1911-11-01,-22
1911-12-01,-25
1912-01-01,-29
1912-02-01,-19
1912-03-01,-41
1912-04-01,-27
1912-05-01,-28
1912-06-01,-32
1912-07-01,-48
1912-08-01,-58
1912-09-01,-52
1912-10-01,-61
1912-11-01,-43
1912-12-01,-47
1913-01-01,-46
1913-02-01,-46
1913-03-01,-44
1913-04-01,-39
1913-05-01,-48
1913-06-01,-47
1913-07-01,-37
1913-08-01,-36
1913-09-01,-37
1913-10-01,-39
1913-11-01,-23
1913-12-01,-9
1914-01-01,-3
1914-02-01,-18
1914-03-01,-26
1914-04-01,-31
1914-05-01,-26
1914-06-01,-29
1914-07-01,-33
1914-08-01,-23
1914-09-01,-21
1914-10-01,-11
1914-11-01,-23
1914-12-01,-16
1915-01-01,-24
1915-02-01,-8
1915-03-01,-15
1915-04-01,-3
1915-05-01,-15
1915-06-01,-20
1915-07-01,-11
1915-08-01,-20
1915-09-01,-17
1915-10-01,-25
1915-11-01,-12
1915-12-01,-21
1916-01-01,-18
1916-02-01,-22
1916-03-01,-31
1916-04-01,-30
1916-05-01,-33
1916-06-01,-46
1916-07-01,-35
1916-08-01,-34
1916-09-01,-35
1916-10-01,-31
1916-11-01,-39
1916-12-01,-75
1917-01-01,-45
1917-02-01,-55
1917-03-01,-52
1917-04-01,-45
1917-05-01,-59
1917-06-01,-45
1917-07-01,-27
1917-08-01,-30
1917-09-01,-27
1917-10-01,-43
1917-11-01,-31
1917-12-01,-72
1918-01-01,-43
1918-02-01,-33
1918-03-01,-24
1918-04-01,-43
1918-05-01,-40
1918-06-01,-34
1918-07-01,-30
1918-08-01,-32
1918-09-01,-20
1918-10-01,-9
1918-11-01,-20
1918-12-01,-38
1919-01-01,-27
1919-02-01,-28
1919-03-01,-28
1919-04-01,-23
1919-05-01,-33
1919-06-01,-34
1919-07-01,-29
1919-08-01,-26
1919-09-01,-22
1919-10-01,-20
1919-11-01,-39
1919-12-01,-37
1920-01-01,-15
1920-02-01,-23
1920-03-01,-6
1920-04-01,-23
1920-05-01,-24
1920-06-01,-29
1920-07-01,-27
1920-08-01,-28
1920-09-01,-29
1920-10-01,-37
1920-11-01,-37
1920-12-01,-49
1921-01-01,-6
1921-02-01,-20
1921-03-01,-22
1921-04-01,-27
1921-05-01,-27
1921-06-01,-23
1921-07-01,-14
1921-08-01,-26
1921-09-01,-21
1921-10-01,-15
1921-11-01,-23
1921-12-01,-22
1922-01-01,-34
1922-02-01,-43
1922-03-01,-19
1922-04-01,-24
1922-05-01,-33
1922-06-01,-33
1922-07-01,-29
1922-08-01,-33
1922-09-01,-32
1922-10-01,-33
1922-11-01,-19
1922-12-01,-22
1923-01-01,-27
1923-02-01,-35
1923-03-01,-29
1923-04-01,-37
1923-05-01,-34
1923-06-01,-27
1923-07-01,-33
1923-08-01,-32
1923-09-01,-29
1923-10-01,-14
1923-11-01,-2
1923-12-01,-5
1924-01-01,-21
1924-02-01,-21
1924-03-01,-7
1924-04-01,-30
1924-05-01,-21
1924-06-01,-26
1924-07-01,-26
1924-08-01,-29
1924-09-01,-27
1924-10-01,-29
1924-11-01,-15
1924-12-01,-36
1925-01-01,-32
1925-02-01,-33
1925-03-01,-23
1925-04-01,-21
1925-05-01,-31
1925-06-01,-34
1925-07-01,-28
1925-08-01,-18
1925-09-01,-16
1925-10-01,-19
1925-11-01,0
1925-12-01,7
1926-01-01,17
1926-02-01,7
1926-03-01,13
1926-04-01,-9
1926-05-01,-22
1926-06-01,-23
1926-07-01,-21
1926-08-01,-13
1926-09-01,-10
1926-10-01,-10
1926-11-01,-5
1926-12-01,-25
1927-01-01,-22
1927-02-01,-16
1927-03-01,-33
1927-04-01,-28
1927-05-01,-19
1927-06-01,-24
1927-07-01,-17
1927-08-01,-21
1927-09-01,-8
1927-10-01,3
1927-11-01,-2
1927-12-01,-30
1928-01-01,2
1928-02-01,-4
1928-03-01,-23
1928-04-01,-23
1928-05-01,-25
1928-06-01,-33
1928-07-01,-17
1928-08-01,-21
1928-09-01,-15
1928-10-01,-14
1928-11-01,-4
1928-12-01,-12
1929-01-01,-39
1929-02-01,-52
1929-03-01,-29
1929-04-01,-35
1929-05-01,-32
1929-06-01,-37
1929-07-01,-33
1929-08-01,-27
1929-09-01,-20
1929-10-01,-10
1929-11-01,-10
1929-12-01,-47
1930-01-01,-21
1930-02-01,-21
1930-03-01,-3
1930-04-01,-20
1930-05-01,-21
1930-06-01,-18
1930-07-01,-16
1930-08-01,-11
1930-09-01,-10
1930-10-01,-9
1930-11-01,16
1930-12-01,-1
1931-01-01,-5
1931-02-01,-19
1931-03-01,-6
1931-04-01,-16
1931-05-01,-19
1931-06-01,-9
1931-07-01,-4
1931-08-01,-2
1931-09-01,-5
1931-10-01,2
1931-11-01,-7
1931-12-01,-4
1932-01-01,16
1932-02-01,-15
1932-03-01,-14
1932-04-01,-1
1932-05-01,-16
1932-06-01,-26
1932-07-01,-20
1932-08-01,-19
1932-09-01,-4
1932-10-01,-1
1932-11-01,-20
1932-12-01,-18
1933-01-01,-26
1933-02-01,-27
1933-03-01,-23
1933-04-01,-20
1933-05-01,-24
1933-06-01,-29
1933-07-01,-19
1933-08-01,-20
1933-09-01,-22
1933-10-01,-19
1933-11-01,-27
1933-12-01,-40
1934-01-01,-18
1934-02-01,1
1934-03-01,-28
1934-04-01,-26
1934-05-01,-7
1934-06-01,-10
1934-07-01,-4
1934-08-01,-8
1934-09-01,-14
1934-10-01,-5
1934-11-01,7
1934-12-01,1
1935-01-01,-29
1935-02-01,18
1935-03-01,-9
1935-04-01,-31
1935-05-01,-25
1935-06-01,-19
1935-07-01,-14
1935-08-01,-15
1935-09-01,-12
1935-10-01,-2
1935-11-01,-24
1935-12-01,-17
1936-01-01,-22
1936-02-01,-32
1936-03-01,-20
1936-04-01,-15
1936-05-01,-12
1936-06-01,-13
1936-07-01,1
1936-08-01,-5
1936-09-01,-2
1936-10-01,0
1936-11-01,-1
1936-12-01,2
1937-01-01,-3
1937-02-01,13
1937-03-01,-11
1937-04-01,-9
1937-05-01,-1
1937-06-01,1
1937-07-01,1
1937-08-01,7
1937-09-01,16
1937-10-01,13
1937-11-01,14
1937-12-01,-3
1938-01-01,11
1938-02-01,5
1938-03-01,16
1938-04-01,11
1938-05-01,-2
1938-06-01,-8
1938-07-01,2
1938-08-01,3
1938-09-01,11
1938-10-01,18
1938-11-01,12
1938-12-01,-14
1939-01-01,0
1939-02-01,-2
1939-03-01,-15
1939-04-01,-7
1939-05-01,-1
1939-06-01,-3
1939-07-01,-4
1939-08-01,-4
1939-09-01,-2
1939-10-01,-1
1939-11-01,5
1939-12-01,40
1940-01-01,-12
1940-02-01,9
1940-03-01,10
1940-04-01,15
1940-05-01,6
1940-06-01,4
1940-07-01,7
1940-08-01,-2
1940-09-01,9
1940-10-01,6
1940-11-01,9
1940-12-01,13
1941-01-01,5
1941-02-01,19
1941-03-01,-1
1941-04-01,9
1941-05-01,9
1941-06-01,6
1941-07-01,13
1941-08-01,4
1941-09-01,-7
1941-10-01,17
1941-11-01,6
1941-12-01,8
1942-01-01,27
1942-02-01,2
1942-03-01,6
1942-04-01,8
1942-05-01,7
1942-06-01,2
1942-07-01,-2
1942-08-01,-3
1942-09-01,-3
1942-10-01,0
1942-11-01,5
1942-12-01,7
1943-01-01,-12
1943-02-01,10
1943-03-01,-7
1943-04-01,8
1943-05-01,4
1943-06-01,-7
1943-07-01,6
1943-08-01,0
1943-09-01,5
1943-10-01,22
1943-11-01,15
1943-12-01,20
1944-01-01,31
1944-02-01,19
1944-03-01,18
1944-04-01,11
1944-05-01,12
1944-06-01,9
1944-07-01,10
1944-08-01,9
1944-09-01,20
1944-10-01,17
1944-11-01,6
1944-12-01,-2
1945-01-01,1
1945-02-01,-9
1945-03-01,-1
1945-04-01,9
1945-05-01,-5
1945-06-01,-9
1945-07-01,-6
1945-08-01,16
1945-09-01,8
1945-10-01,9
1945-11-01,0
1945-12-01,-16
1946-01-01,14
1946-02-01,7
1946-03-01,-4
1946-04-01,3
1946-05-01,-11
1946-06-01,-17
1946-07-01,-11
1946-08-01,-16
1946-09-01,-9
1946-10-01,-14
1946-11-01,-5
1946-12-01,-32
1947-01-01,-12
1947-02-01,-9
1947-03-01,4
1947-04-01,3
1947-05-01,-8
1947-06-01,-9
1947-07-01,-7
1947-08-01,-9
1947-09-01,-13
1947-10-01,8
1947-11-01,4
1947-12-01,-11
1948-01-01,11
1948-02-01,-12
1948-03-01,-22
1948-04-01,-10
1948-05-01,0
1948-06-01,-7
1948-07-01,-13
1948-08-01,-15
1948-09-01,-17
1948-10-01,-11
1948-11-01,-16
1948-12-01,-20
1949-01-01,11
1949-02-01,-17
1949-03-01,-5
1949-04-01,-12
1949-05-01,-13
1949-06-01,-26
1949-07-01,-17
1949-08-01,-12
1949-09-01,-14
1949-10-01,-8
1949-11-01,-9
1949-12-01,-18
1950-01-01,-30
1950-02-01,-29
1950-03-01,-7
1950-04-01,-20
1950-05-01,-12
1950-06-01,-11
1950-07-01,-16
1950-08-01,-21
1950-09-01,-12
1950-10-01,-17
1950-11-01,-34
1950-12-01,-19
1951-01-01,-34
1951-02-01,-43
1951-03-01,-20
1951-04-01,-10
1951-05-01,3
1951-06-01,-6
1951-07-01,-1
1951-08-01,7
1951-09-01,5
1951-10-01,9
1951-11-01,-3
1951-12-01,12
1952-01-01,13
1952-02-01,11
1952-03-01,-10
1952-04-01,4
1952-05-01,-1
1952-06-01,-2
1952-07-01,6
1952-08-01,4
1952-09-01,6
1952-10-01,-2
1952-11-01,-16
1952-12-01,-2
1953-01-01,10
1953-02-01,19
1953-03-01,12
1953-04-01,19
1953-05-01,9
1953-06-01,5
1953-07-01,-1
1953-08-01,7
1953-09-01,6
1953-10-01,7
1953-11-01,-3
1953-12-01,6
1954-01-01,-23
1954-02-01,-10
1954-03-01,-14
1954-04-01,-15
1954-05-01,-20
1954-06-01,-15
1954-07-01,-17
1954-08-01,-14
1954-09-01,-7
1954-10-01,-2
1954-11-01,8
1954-12-01,-16
1955-01-01,16
1955-02-01,-16
1955-03-01,-32
1955-04-01,-18
